,title,published_date,viewCount,likeCount,commentCount,Month
38,"('Sri Lanka Crisis | Dynasty Rule in Sri Lanka | Sri Lanka P.M Resigns | Sri Lanka Emergency',)",2022-05-16 07:33:47+00:00,8127166,445714,16965.0,May
39,"('Russia - Ukraine War | Moskva Sink | India Cancel Mi-17 Helicopter Deal With Russia | NDA New Batch',)",2022-04-28 07:00:41+00:00,8060851,422659,13937.0,Apr
40,"('Brahmos Attack in Pakistan',)",2022-03-15 12:07:29+00:00,15752694,804627,48159.0,Mar
41,"('Ukraine-Russia Crises | Ukraine War | Ukraine War Update | What is NATO',)",2022-02-28 07:09:45+00:00,23151281,1183622,59584.0,Feb
42,"('15 February Class Reopen | New Atlas of Khan Sir | F.I.R on Khan Sir',)",2022-02-14 16:38:09+00:00,5611553,445695,40708.0,Feb
43,"('28 January Protest Cancel | RRB NTPC',)",2022-01-27 17:49:12+00:00,5646965,506236,36253.0,Jan
44,"('Republic day |',)",2022-01-26 08:52:26+00:00,5911193,374470,14015.0,Jan
45,"('26 January | Republic Day',)",2022-01-26 04:19:01+00:00,3937222,371454,13641.0,Jan
46,"('RRB NTPC Scam | #RRBNTPC_1student_1result | RRB NTPC Result',)",2022-01-18 01:20:04+00:00,5372955,349996,20929.0,Jan
47,"('Army Day | New Uniform of Army | Brahmos Export To Philippians | RRB NTPC Result | CDS Crash Report',)",2022-01-15 16:57:58+00:00,6289871,367773,13111.0,Jan
48,"('Sri Lanka | What is Bailout Package | IMF Loan  to Sri Lanka | China Debt Trap to Sri Lanka',)",2022-01-15 07:12:43+00:00,6580360,312956,10092.0,Jan
49,"('Pakistan block | France Ban on Pakistan',)",2022-01-13 06:40:07+00:00,10293789,540684,24570.0,Jan
50,"('galvan valley',)",2022-01-11 10:45:57+00:00,4794493,320225,14101.0,Jan
51,"('PM Modi Security Breach | SPG | PM Modi Punjab Visit |',)",2022-01-07 16:53:31+00:00,14145727,779254,38113.0,Jan
